timestamp,open,high,low,close,volume
2020-10-08,341.6800,347.6900,336.2200,345.1500,9695080
2020-10-02,336.6100,346.7000,335.8100,338.8300,13800251
2020-09-25,329.4700,336.0300,320.8100,331.7800,17519155
2020-09-18,334.9700,346.0400,333.3700,335.2600,16581185
2020-09-11,328.7600,345.1300,326.9000,330.1500,13537167
2020-09-04,366.6300,366.6300,326.5501,335.0100,25356556
2020-08-28,339.3600,367.2500,338.7500,366.1200,16485285
2020-08-21,327.0000,338.8000,326.3501,337.1000,14985099
2020-08-14,327.1900,334.5500,321.8570,326.8000,16124413
2020-08-07,311.0000,331.2150,309.3000,328.0200,21619420
2020-07-31,307.0600,312.8200,303.0400,308.5300,16596385
2020-07-24,301.9200,317.2400,301.9200,306.9200,17762930
2020-07-17,297.8600,306.7700,288.6500,304.0600,21361757
2020-07-10,306.6500,307.7900,290.5600,295.6800,18833366
2020-07-02,291.3400,306.8900,285.1500,302.4200,15017015
2020-06-26,299.6000,310.4300,289.1700,289.3400,20580411
2020-06-19,290.0000,309.5000,288.7500,296.5000,19815202
2020-06-12,311.0600,316.0600,290.8900,297.7900,22127135
2020-06-05,300.8000,312.1800,297.9000,311.8800,19604309
2020-05-29,304.6200,310.0000,292.1200,300.8900,19842972
2020-05-22,285.4600,301.1500,285.0000,294.9100,22675794
2020-05-15,279.5000,282.8100,263.9600,278.9400,22970993
2020-05-08,265.5000,283.4200,263.0100,282.4400,18516811
2020-05-01,260.2200,285.0000,259.5100,268.7400,27894467
2020-04-24,254.5100,262.4200,244.1000,258.7600,25172615
2020-04-17,268.2000,275.6400,244.7100,259.9700,45501305
2020-04-09,252.0000,282.8700,250.0100,269.4000,29600478
2020-04-03,245.8500,254.2500,227.1000,237.0300,33375235
2020-03-27,203.2800,266.3000,199.9900,247.6500,53644164
2020-03-20,234.4900,257.7300,210.0000,211.4200,55668697
2020-03-13,265.0000,280.8700,240.9300,270.0100,49787045
2020-03-06,298.8900,314.5900,278.6200,287.0100,37861270
2020-02-28,317.5100,329.3400,273.5500,290.2500,56541848
2020-02-21,341.6200,347.2500,335.6100,339.7000,15944788
2020-02-14,325.6200,341.0400,325.5100,340.9500,15458220
2020-02-07,318.8000,335.0000,318.4300,327.0000,18267249
2020-01-31,315.1000,324.7000,312.5000,315.9400,21332590
2020-01-24,322.4100,327.0900,321.4900,323.6700,17335005
2020-01-17,313.2600,324.0300,309.8600,323.6600,20991461
2020-01-10,297.3600,311.9500,296.0200,311.1700,15959102
2020-01-03,300.8300,303.5300,295.2800,300.4300,10969651
2019-12-27,298.7400,301.5300,296.6000,300.7400,7643335
2019-12-20,298.1100,300.5500,293.7700,298.5700,18102010
2019-12-13,289.1900,296.5300,287.7100,296.0900,13005448
2019-12-06,290.5900,292.5000,281.5000,290.4000,13863188
2019-11-29,284.0000,293.0000,283.7000,292.2300,13393576
2019-11-22,280.0000,287.7300,278.4000,282.5700,14377629
2019-11-15,273.0800,280.9000,273.0600,280.7800,12591954
2019-11-08,280.6400,282.2400,268.4200,274.8900,18698778
2019-11-01,273.2600,280.3900,271.3700,279.0500,20209848
2019-10-25,271.9300,275.3500,258.5100,270.1900,20707514
2019-10-18,277.5600,280.4400,269.9000,270.6300,14274648
2019-10-11,271.3100,280.0000,266.5900,275.9100,13611303
2019-10-04,270.9900,274.4800,260.4100,274.0600,17611046
2019-09-27,270.3000,277.4400,266.6100,269.1300,17502671
2019-09-20,273.4700,278.6300,270.4400,271.1700,16888166
2019-09-13,293.4900,293.6900,269.2000,276.3200,29939512
2019-09-06,279.9900,293.4600,278.5000,291.3800,11572881
2019-08-30,274.8800,282.9600,272.9800,281.3700,11560210
2019-08-23,277.0000,282.8900,270.2100,271.8900,14972904
2019-08-16,272.8500,275.9600,265.8500,274.3600,17620615
2019-08-09,260.0000,278.0800,253.9000,274.9500,23801792
2019-08-02,283.1200,283.3300,265.6800,269.4500,22577849
2019-07-26,276.9100,282.2900,276.0700,282.0700,12428286
2019-07-19,280.4600,280.6300,274.7400,275.6000,14935128
2019-07-12,270.1000,279.7400,269.4600,279.5400,11976283
2019-07-05,269.9900,273.0800,264.8700,272.1400,9756678
2019-06-28,265.8500,267.1000,259.1200,264.5300,16133393
2019-06-21,261.0000,268.1500,255.0700,264.4700,20533096
2019-06-14,269.0000,269.8500,259.1800,260.1000,17373612
2019-06-07,251.8000,266.8700,240.2500,265.8000,22192061
2019-05-31,252.6600,257.7600,250.8400,251.4900,18125934
2019-05-24,250.4900,258.8600,248.3300,251.4800,16553395
2019-05-17,241.5100,255.1500,240.3600,252.5500,20228049
2019-05-10,241.4900,249.0800,239.9600,247.4300,17037761
2019-05-03,246.8800,257.4300,244.2800,247.9500,23542031
2019-04-26,239.8000,247.1500,239.0700,246.6800,15083125
2019-04-18,239.5200,242.6500,237.1900,240.8900,11848047
2019-04-12,235.7200,239.0000,233.1200,238.8300,12550474
2019-04-05,238.3000,240.9300,233.7600,236.6300,15461453
2019-03-29,230.3900,236.6400,228.5500,235.4500,15360016
2019-03-22,232.2900,237.0800,227.8400,230.7600,17844172
2019-03-15,222.9400,232.7600,222.8400,231.1700,14572718
2019-03-08,227.3100,228.5000,215.9300,221.8700,15177832
2019-03-01,225.0000,228.1500,221.7400,227.2500,14573495
2019-02-22,221.4300,223.6300,218.6200,223.3200,12764900
2019-02-15,216.9900,222.3500,216.3400,222.1100,15016699
2019-02-08,214.3500,216.7000,211.6000,216.5800,16178257
2019-02-01,200.7400,214.6400,197.6600,213.7700,28804992
2019-01-25,199.7900,203.8900,196.6000,202.9400,15023582
2019-01-18,194.3800,202.5300,193.1000,202.0000,18297319
2019-01-11,190.6300,197.2400,188.5000,195.9000,20954590
2019-01-04,186.9200,191.2500,180.9800,189.7600,17476732
2018-12-28,173.1500,190.1000,171.8900,186.1600,19138918
2018-12-21,193.5000,194.3500,175.0000,175.1900,30843164
2018-12-14,194.6500,205.9600,193.0000,195.3300,21891416
2018-12-07,206.0100,209.9100,194.2200,196.5000,24753787
2018-11-30,185.5800,202.4700,183.6800,201.0700,30489097
2018-11-23,199.0400,199.4000,177.4000,182.6000,18932217
2018-11-16,204.6200,205.2500,194.3300,199.0400,15942253
2018-11-09,198.2000,208.8600,194.2900,205.6200,18101908
2018-11-02,200.3500,202.3400,183.7500,197.7200,32247102
2018-10-26,203.7200,206.2600,195.3800,197.4900,25001982
2018-10-19,203.7200,208.1200,199.5300,203.0600,24192282
2018-10-12,211.7000,211.8000,192.9100,204.2200,35070759
2018-10-05,224.8400,225.3500,211.8500,213.2600,18612073
2018-09-28,220.4100,224.3600,218.2100,222.6100,13265361
2018-09-21,219.9700,223.3700,216.1100,221.9000,18521628
2018-09-14,212.6600,218.8200,210.1000,217.9600,14882286
2018-09-07,215.6800,217.3500,209.7000,211.0900,13977913
2018-08-31,210.1800,215.8600,210.1800,215.5600,14065551
2018-08-24,203.4700,209.5000,202.2500,209.4000,11324452
2018-08-17,202.6500,204.6000,199.5000,203.2100,12249186
2018-08-10,201.0000,204.6600,200.5100,202.6500,13193865
2018-08-03,202.9500,203.3300,196.2000,201.2000,21307831
2018-07-27,206.7000,214.2800,201.2200,202.9400,23418439
2018-07-20,205.6200,208.7100,201.6300,206.7100,14536436
2018-07-13,200.8000,209.1900,199.2500,205.9100,14031903
2018-07-06,195.7400,200.2600,194.7500,199.5200,9738100
2018-06-29,200.3900,200.4400,193.1600,196.5200,17913511
2018-06-22,197.6400,203.6800,197.2700,201.4800,14450689
2018-06-15,200.6100,201.6200,197.5700,199.5300,14972829
2018-06-08,195.9400,204.0000,195.2300,200.0400,16186588
2018-06-01,190.2500,195.3700,186.6000,195.3700,16145483
2018-05-25,191.5000,193.4000,189.7200,191.1700,13155186
2018-05-18,193.5000,194.7200,190.1500,190.4000,14320830
2018-05-11,188.3000,194.0900,187.6300,193.3500,16530548
2018-05-04,177.4900,188.7900,176.9100,188.1700,28664588
2018-04-27,178.1600,179.6300,170.6500,175.9400,21628686
2018-04-20,175.6200,179.8000,172.9700,177.0800,19822679
2018-04-13,171.2700,176.4800,170.1400,174.2700,16280777
2018-04-06,174.6400,177.4400,167.9400,169.7000,20902945
